0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,0.047,0.046,0.039,0.038,0.038,0.034,0.067,0.03,0.026,0.029,0.026,0.025,0.062,0.028,0.027,0.023,0.032,0.046,0.023,0.023,0.023,0.021,0.02,0.041,0.021,0.02,0.018,0.019,0.018,0.035,0.038,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.042,0,0.05,0.052,0.035,0.041,0.037,0.065,0.033,0.026,0.029,0.025,0.024,0.064,0.028,0.026,0.023,0.03,0.044,0.022,0.023,0.023,0.02,0.019,0.039,0.021,0.019,0.017,0.018,0.017,0.033,0.037,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.037,0.045,0,0.051,0.044,0.053,0.04,0.075,0.032,0.025,0.03,0.025,0.024,0.067,0.028,0.026,0.022,0.033,0.042,0.021,0.022,0.022,0.019,0.018,0.037,0.019,0.017,0.016,0.017,0.016,0.031,0.034,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.031,0.046,0.05,0,0.035,0.053,0.046,0.07,0.037,0.026,0.03,0.025,0.024,0.072,0.029,0.026,0.023,0.031,0.043,0.021,0.023,0.022,0.019,0.018,0.037,0.02,0.018,0.016,0.017,0.016,0.031,0.034,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.029,0.03,0.042,0.035,0,0.045,0.038,0.105,0.03,0.025,0.032,0.027,0.026,0.069,0.029,0.029,0.022,0.044,0.043,0.021,0.021,0.022,0.019,0.018,0.036,0.019,0.017,0.016,0.016,0.015,0.03,0.033,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.027,0.034,0.048,0.049,0.043,0,0.054,0.085,0.035,0.025,0.032,0.025,0.024,0.077,0.029,0.027,0.022,0.035,0.041,0.02,0.021,0.021,0.018,0.017,0.035,0.019,0.017,0.015,0.016,0.015,0.029,0.032,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.024,0.029,0.035,0.041,0.034,0.052,0,0.079,0.044,0.027,0.035,0.026,0.024,0.099,0.032,0.028,0.023,0.033,0.042,0.021,0.022,0.022,0.019,0.017,0.035,0.019,0.017,0.015,0.016,0.015,0.029,0.032,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,0.027,0.035,0.033,0.05,0.044,0.042,0,0.033,0.027,0.039,0.03,0.028,0.083,0.033,0.033,0.023,0.061,0.045,0.022,0.023,0.024,0.02,0.018,0.037,0.02,0.018,0.016,0.017,0.016,0.03,0.033,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.022,0.027,0.029,0.034,0.028,0.035,0.045,0.064,0,0.033,0.037,0.028,0.026,0.1,0.039,0.03,0.026,0.03,0.047,0.023,0.026,0.025,0.02,0.018,0.039,0.021,0.018,0.016,0.017,0.016,0.031,0.035,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0.02,0.022,0.023,0.023,0.024,0.027,0.051,0.033,0,0.034,0.032,0.03,0.064,0.043,0.033,0.04,0.025,0.064,0.032,0.039,0.034,0.024,0.021,0.047,0.027,0.022,0.019,0.019,0.018,0.034,0.04,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
